id,domain,difficulty,vignette,question,gold_standard_answer,guideline_reference
Q067,D3_First_Line,Medium,"A 66-year-old male with stage IV NSCLC adenocarcinoma. METex14 skipping mutation identified on NGS. PD-L1 TPS 15%. ECOG PS 1. No brain metastases.",What is the recommended first-line treatment for METex14 skipping mutation-positive NSCLC?,"MET exon 14 skipping mutation is an actionable driver: (1) Capmatinib (GEOMETRY mono-1 trial) or tepotinib (VISION trial) are approved for METex14 skipping mutation-positive NSCLC; (2) Both are Category 2A first-line recommendations; (3) ORR for treatment-naive patients: capmatinib ~68%, tepotinib ~50%; (4) Crizotinib also has activity but is less selective and not preferred; (5) Despite PD-L1 expression, targeted therapy takes priority; (6) Alternative: if MET inhibitor is not accessible, chemo-IO is a reasonable option; (7) Monitor for MET inhibitor-specific toxicities: peripheral edema, nausea, creatinine elevation (functional, not renal damage).",NCCN NSCLC v3.2025 MET-1
Q068,D4_Subsequent_Resistance,Medium,"A 58-year-old female with EGFR-mutant (L858R) stage IV NSCLC on osimertinib for 22 months. Restaging shows systemic progression with new bone metastases and hepatic lesions. Liquid biopsy shows no identifiable resistance mechanism. ECOG PS 1.",What approach is recommended when no resistance mechanism is identified?,"When no resistance mechanism is found on liquid biopsy after osimertinib progression: (1) Consider tissue re-biopsy—liquid biopsy may miss resistance mechanisms (tissue-only alterations, histologic transformation); (2) If tissue biopsy confirms no actionable resistance and no histologic transformation: platinum-based doublet chemotherapy (carboplatin + pemetrexed) is the standard next line; (3) Addition of anti-PD-(L)1 may be considered cautiously in EGFR-mutant patients (KEYNOTE-789 and CheckMate 722 were negative, but some subgroups may benefit); (4) Amivantamab + lazertinib + chemotherapy (MARIPOSA-2 data) is an emerging option; (5) Clinical trial enrollment is strongly recommended; (6) Bisphosphonate or denosumab for bone metastases; (7) Consider palliative radiation for symptomatic bone lesions.",NCCN NSCLC v3.2025 NSCL-22; Emerging data
Q069,D4_Subsequent_Resistance,Hard,"A 53-year-old male with EGFR exon 19 del stage IV NSCLC on osimertinib for 30 months. Brain MRI shows 3 new small brain metastases (each <1cm). Extracranial disease is stable. ECOG PS 0.",How should isolated CNS progression on osimertinib be managed?,"Isolated CNS progression with controlled extracranial disease: (1) Continue osimertinib—CNS penetration is good but not complete, and extracranial control is maintained; (2) Stereotactic radiosurgery (SRS) to the 3 brain metastases is preferred over WBRT given small number and size; (3) Avoid WBRT to preserve neurocognition; (4) After SRS, continue osimertinib and monitor with brain MRI every 3 months; (5) If CNS progression continues despite SRS, consider: (a) dose escalation of osimertinib (80→160mg, limited data); (b) intrathecal therapy; (c) switch systemic therapy. This represents a form of CNS oligoprogression where local therapy + continuation of effective systemic TKI is appropriate.",NCCN NSCLC v3.2025 NSCL-22; NSCL-M
Q070,D5_Adverse_Events,Easy,"A 64-year-old female on durvalumab consolidation after chemoradiation for stage III NSCLC develops new-onset hypothyroidism (TSH 25 mIU/L, free T4 0.4 ng/dL) at month 4. She is asymptomatic.",How should immune-related thyroid dysfunction be managed?,"IO-related hypothyroidism is the most common endocrine irAE (~10–15%): (1) Likely preceded by a transient thyrotoxic phase (painless thyroiditis); (2) Start levothyroxine replacement (1.6 mcg/kg/day, adjust for age—start lower in elderly); (3) Continue durvalumab—hypothyroidism alone does NOT require IO discontinuation; (4) Recheck TSH in 6–8 weeks, titrate levothyroxine to normalize TSH; (5) Typically permanent—lifelong replacement expected; (6) Screen for concurrent adrenal insufficiency and hypophysitis if symptomatic (fatigue, hypotension); (7) No corticosteroids needed for isolated hypothyroidism.",NCCN Management of Immunotherapy-Related Toxicities v1.2025
Q071,D5_Adverse_Events,Medium,"A 59-year-old male on pembrolizumab for NSCLC develops acute onset of severe epigastric pain, nausea, and vomiting after cycle 5. Labs: lipase 1200 U/L (normal <60), amylase 450 U/L, ALT mildly elevated. CT abdomen shows peripancreatic fat stranding.",How should immune-related pancreatitis be managed?,"Grade 3 immune-related pancreatitis (lipase >5× ULN with symptoms): (1) Hold pembrolizumab; (2) NPO, IV fluids, pain management (avoid NSAIDs, use IV opioids if needed); (3) Initiate IV methylprednisolone 1–2 mg/kg/day; (4) Monitor for complications: pancreatic necrosis, pseudocyst, organ failure; (5) Rule out other causes: gallstones (RUQ ultrasound), alcohol, medications; (6) Once lipase normalizes and symptoms resolve, taper steroids over 4+ weeks; (7) Pembrolizumab may be resumed with caution after full resolution and completion of steroid taper; (8) If Grade 4 (life-threatening) or recurrent: permanently discontinue pembrolizumab; (9) Monitor glucose—immune-related pancreatitis can trigger new-onset diabetes.",NCCN Management of Immunotherapy-Related Toxicities v1.2025
Q072,D5_Adverse_Events,Hard,"A 67-year-old female on nivolumab + ipilimumab for NSCLC presents with acute chest pain, dyspnea, and troponin I elevation (2.5 ng/mL, normal <0.04). ECG shows diffuse ST-segment changes. Echocardiogram shows new LVEF 35% (baseline 62%). CRP is markedly elevated.",What is the diagnosis and management of this emergency?,"This is immune-related myocarditis, the most lethal irAE (mortality ~25–50%): (1) Permanently discontinue all immunotherapy immediately; (2) ICU admission with continuous cardiac monitoring; (3) High-dose IV methylprednisolone 1g/day for 3–5 days (pulse therapy), then transition to 1–2mg/kg/day; (4) If no rapid improvement in 24–48 hours: add mycophenolate mofetil, abatacept, or anti-thymocyte globulin; (5) Cardiac MRI (if stable) for confirmation; (6) Endomyocardial biopsy should be considered for definitive diagnosis; (7) Check for concurrent myositis (CK), myasthenia (acetylcholine receptor antibodies), hepatitis (transaminases); (8) Avoid NSAIDs, minimize fluid overload; (9) Heart failure management: diuretics, ACEi/ARB, beta-blocker (cautiously); (10) Immunotherapy is permanently contraindicated after myocarditis.",NCCN Management of Immunotherapy-Related Toxicities v1.2025; ASCO/ACC Guidelines
Q073,D6_Follow_Up,Medium,"A 62-year-old male underwent left pneumonectomy for stage IIIA NSCLC 4 years ago followed by adjuvant chemotherapy. He now has ECOG PS 0 but complains of exertional dyspnea (expected post-pneumonectomy). Surveillance CT shows no recurrence.",What are the specific survivorship considerations after pneumonectomy?,"Post-pneumonectomy survivorship requires special attention: (1) Continue surveillance CT: annually at this point (>3 years from surgery); (2) Pulmonary rehabilitation and exercise program to optimize remaining lung function; (3) Annual PFTs to monitor for progressive restrictive/obstructive changes; (4) Cardiac assessment: right heart strain can develop over time from compensatory changes—echocardiogram if new symptoms; (5) Post-pneumonectomy syndrome monitoring (mediastinal shift, bronchial compression); (6) Vaccination: annual influenza, pneumococcal vaccines (higher infection risk); (7) Avoid high-altitude travel without supplemental oxygen assessment; (8) Any future procedures requiring general anesthesia need specialized thoracic anesthesiology planning; (9) Screening for second primary lung cancer continues with annual CT.",NCCN NSCLC v3.2025 NSCL-15; NCCN Survivorship
Q074,D6_Follow_Up,Hard,"A 40-year-old female with stage IV ALK-rearranged NSCLC achieves complete response on alectinib after 18 months. She is concerned about long-term effects on her children (ages 8 and 12) and asks about whether ALK rearrangements are hereditary.",How should genetic counseling and family risk be addressed?,"ALK rearrangements in NSCLC are somatic (acquired) mutations, not germline: (1) Reassure the patient that ALK fusions are not inherited—her children do not carry increased risk specifically from ALK; (2) However, her young age and never-smoker status with lung cancer may warrant referral for germline genetic testing to evaluate for hereditary cancer predisposition syndromes (TP53/Li-Fraumeni, EGFR T790M germline, BRCA, etc.); (3) Family history should be thoroughly reviewed across all cancer types; (4) If a germline predisposition is identified, cascade testing for children may be appropriate at the recommended age; (5) Psychosocial support for parenting with metastatic cancer; (6) Advance care planning discussions, including guardianship considerations, should be approached sensitively.",NCCN Genetic/Familial High-Risk Assessment; Expert consensus
Q075,D3_First_Line,Easy,"A 71-year-old female with extensive-stage SCLC, ECOG PS 1, with liver and bone metastases. No brain metastases on MRI. Normal cardiac and renal function.",What is the standard first-line treatment and expected outcomes?,"First-line ES-SCLC: (1) Platinum-etoposide + atezolizumab (IMpower133) or platinum-etoposide + durvalumab (CASPIAN), both Category 1; (2) Carboplatin is generally preferred over cisplatin for tolerability (especially in elderly); (3) Regimen: carboplatin AUC5 + etoposide 100mg/m² D1-3 + atezolizumab/durvalumab Q3W × 4 cycles, then maintenance IO; (4) Expected outcomes with chemo-IO: median OS ~12–13 months, 2-year OS ~22–25%; (5) Bone-directed therapy (zoledronic acid or denosumab) for bone metastases; (6) PCI may be considered after response, though controversial in IO era; (7) SCLC is highly chemo-sensitive initially—response rate ~60–70%.",NCCN SCLC v2.2025 SCL-4
Q076,D1_Diagnosis_Screening,Medium,"A 62-year-old male with a remote history of testicular cancer treated with bleomycin-containing chemotherapy 20 years ago presents with a new 2cm lung nodule on CT. He is a former light smoker (10 pack-years, quit 25 years ago).",What special considerations apply to evaluating this pulmonary nodule?,"Bleomycin pulmonary toxicity history adds complexity: (1) Bleomycin can cause pulmonary fibrosis, and fibrotic changes may present as nodular opacities years later; (2) However, secondary malignancy (including lung cancer) risk is elevated after prior chemotherapy and radiation; (3) PET-CT is recommended—fibrotic nodules may have low-grade uptake while malignant lesions typically have higher SUV; (4) Compare with any prior post-chemotherapy imaging; (5) Tissue biopsy is likely needed for definitive diagnosis regardless of PET findings; (6) If malignant, PFTs are critical as bleomycin-injured lungs may have reduced reserve for surgery or radiation; (7) DLCO assessment is particularly important given bleomycin exposure; (8) MDT discussion essential.",NCCN NSCLC v3.2025 NSCL-1; Expert consensus
Q077,D2_Staging_Molecular,Medium,"A 59-year-old female with newly diagnosed NSCLC adenocarcinoma. NGS reveals HER2 (ERBB2) exon 20 insertion mutation. No other actionable alterations. PD-L1 TPS 20%.",What is the clinical significance and how does HER2 mutation status affect treatment?,"HER2 exon 20 insertion in NSCLC (distinct from HER2 amplification in breast cancer): (1) First-line: no approved HER2-targeted therapy for first-line NSCLC; standard chemo-IO (platinum/pemetrexed/pembrolizumab) is recommended; (2) Second-line and beyond: trastuzumab deruxtecan (T-DXd) is approved for HER2-mutant NSCLC based on DESTINY-Lung02 (ORR ~49%); (3) HER2 mutations are found in ~2–4% of NSCLC, most commonly exon 20 insertions; (4) Standard EGFR TKIs are ineffective against HER2 mutations; (5) Ongoing clinical trials are exploring first-line T-DXd and combinations; (6) Confirm that this is a mutation (activating insertion) rather than amplification, as treatment differs.",NCCN NSCLC v3.2025 HER2-1
Q078,D4_Subsequent_Resistance,Easy,"A 72-year-old female with stage IV NSCLC squamous cell carcinoma progresses after first-line pembrolizumab + carboplatin + paclitaxel (KEYNOTE-407). She completed 4 cycles of triplet and 6 months of pembrolizumab maintenance. ECOG PS 2.",What are appropriate second-line options for this patient with declining PS?,"For squamous NSCLC progressing after KEYNOTE-407 with PS 2: (1) Docetaxel at reduced dose (60 mg/m² instead of 75) is an option; (2) Ramucirumab addition should be avoided given PS 2 and added toxicity; (3) Weekly paclitaxel or gemcitabine may be better tolerated single-agent options; (4) Afatinib is approved for squamous NSCLC (LUX-Lung 8) and is an oral option; (5) Best supportive care should be an explicit option in the discussion; (6) Check for any missed molecular targets (FGFR, PIK3CA in squamous); (7) Clinical trials with appropriate PS eligibility; (8) Early palliative care integration.",NCCN NSCLC v3.2025 NSCL-20
Q079,D6_Follow_Up,Hard,"A 55-year-old male with stage IV NSCLC achieved complete response on pembrolizumab monotherapy and stopped treatment at 2 years. Now, 14 months after stopping, surveillance CT shows a new 1.8cm pulmonary nodule and mildly enlarged mediastinal lymph node.",How should recurrence after immunotherapy discontinuation be managed?,"Recurrence after IO discontinuation: (1) Tissue biopsy of the new nodule to confirm recurrence vs. new primary; (2) Full restaging: PET-CT, brain MRI; (3) Repeat molecular profiling on the new specimen—tumor biology may have changed; (4) Repeat PD-L1 testing; (5) If confirmed recurrence: pembrolizumab rechallenge is a reasonable first approach—KEYNOTE-024 and retrospective data show ~50–60% of patients respond to IO rechallenge after planned discontinuation; (6) If limited recurrence (oligorecurrence): consider local therapy (surgery or SBRT) + IO rechallenge; (7) If rechallenge fails: platinum-based chemotherapy ± IO; (8) Clinical trial enrollment if available.",NCCN NSCLC v3.2025 NSCL-17; KEYNOTE-024 long-term data
Q080,D3_First_Line,Medium,"A 64-year-old male with stage IVA NSCLC adenocarcinoma with oligometastatic disease: primary left lower lobe mass and 2 contralateral lung metastases only. No driver mutations. PD-L1 TPS 50%. ECOG PS 0.",What is the role of local consolidative therapy in this oligometastatic scenario?,"Oligometastatic NSCLC (limited metastatic burden) may benefit from aggressive multimodality: (1) Initiate systemic therapy first: pembrolizumab monotherapy (PD-L1 ≥50%) or chemo-IO; (2) After 3–4 cycles, if responding: local consolidative therapy (LCT) to all known disease sites using surgery and/or SBRT; (3) Multiple prospective trials (Gomez et al., Iyengar et al.) show PFS and OS benefit with LCT in oligometastatic NSCLC; (4) Continue systemic IO after local treatment; (5) Definition: generally ≤3–5 metastatic sites amenable to local therapy; (6) MDT discussion is essential to determine resectability and radiation planning; (7) This approach converts an incurable to a potentially long-term control scenario.",NCCN NSCLC v3.2025 NSCL-17; Gomez et al. JCO 2019
Q081,D1_Diagnosis_Screening,Easy,"A 60-year-old male former smoker (28 pack-years, quit 3 years ago) undergoes his third annual LDCT screening. The radiologist reports a new 5mm ground-glass nodule not present on prior scans.",How should a new GGN detected during serial screening be evaluated?,"New 5mm GGN on annual screening: Lung-RADS 2 (benign): (1) Continue annual LDCT screening; (2) No short-interval follow-up required for a pure GGN <6mm; (3) If the GGN was ≥6mm, Lung-RADS 3 would apply with 6-month follow-up; (4) Document for comparison on future scans; (5) Reinforce smoking cessation (quit only 3 years ago). Pure GGNs <6mm have very low malignancy risk and indolent natural history.",NCCN Lung Cancer Screening v2.2025; Lung-RADS v1.1
Q082,D2_Staging_Molecular,Hard,"A 63-year-old female with resected stage IIA NSCLC adenocarcinoma. Surgical pathology NGS reveals EGFR L858R mutation. She completed adjuvant cisplatin/vinorelbine × 4 cycles.",Is there a role for adjuvant targeted therapy in this patient?,"Adjuvant osimertinib is indicated for this patient: (1) ADAURA trial demonstrated significant DFS benefit for adjuvant osimertinib in stage IB–IIIA resected EGFR-mutant (exon 19del or L858R) NSCLC; (2) Updated OS data showed OS benefit for stage II–IIIA; (3) Duration: 3 years of adjuvant osimertinib after completion of adjuvant chemotherapy; (4) Adjuvant osimertinib is a Category 1 recommendation for stage IIA EGFR-mutant NSCLC; (5) Testing: EGFR testing should be performed on all resected non-squamous NSCLC for this reason; (6) Monitor for osimertinib toxicity during 3-year adjuvant course (ILD, QTc, skin effects); (7) This changes the paradigm of adjuvant therapy for early-stage NSCLC.",NCCN NSCLC v3.2025 NSCL-13; ADAURA trial
Q083,D3_First_Line,Hard,"A 57-year-old female with stage IVB NSCLC adenocarcinoma. Massive bilateral pleural effusions causing dyspnea. No driver mutations. PD-L1 TPS 80%. ECOG PS 3 (due to effusions). BMI 22.",How should this symptomatic patient with poor PS be initially managed?,"PS 3 due to reversible cause (effusions) requires a different approach than PS 3 from tumor burden: (1) Immediate bilateral thoracentesis for symptom relief and reassessment of PS after drainage; (2) Consider indwelling pleural catheter (IPC) or pleurodesis for recurrent effusions; (3) Pleural fluid for cytology and cell block (can be used for PD-L1 and molecular testing); (4) If PS improves to 0–2 after effusion management: pembrolizumab monotherapy (PD-L1 ≥50%) is appropriate; (5) If PS remains 3: best supportive care or cautious single-agent IO may be considered; (6) Chemo-IO is generally too toxic for PS 3 patients; (7) Re-evaluate PS 1–2 weeks after drainage before making systemic therapy decisions.",NCCN NSCLC v3.2025 NSCL-17; Expert consensus
Q084,D4_Subsequent_Resistance,Medium,"A 65-year-old male with NSCLC adenocarcinoma harboring a METex14 skipping mutation. He progressed after 10 months on capmatinib. ECOG PS 1.",What are the options after MET inhibitor progression?,"Post-MET inhibitor progression: (1) Consider tissue or liquid re-biopsy for resistance mechanism profiling (MET kinase domain mutations, MET amplification, bypass pathway activation such as EGFR, KRAS, or BRAF); (2) If secondary MET mutation identified: alternative MET inhibitor may have activity (switch capmatinib to tepotinib or vice versa may not be effective for on-target resistance); (3) Platinum-based chemotherapy ± immunotherapy is the standard next-line approach; (4) Check PD-L1 if not recently assessed; (5) Clinical trials exploring novel MET-targeting strategies; (6) Type Ib MET inhibitors and MET-directed ADCs are in development; (7) Antibody-drug conjugates (e.g., teliso-V) targeting MET are emerging options.",NCCN NSCLC v3.2025 MET-1; Emerging data
Q085,D5_Adverse_Events,Easy,"A 68-year-old male on crizotinib for ROS1-positive NSCLC reports visual disturbances—flashing lights and trails of light especially at night—after 3 weeks of treatment.",How should crizotinib-related visual disturbances be managed?,"Crizotinib visual effects are a well-known class effect (~60% of patients): (1) These are typically benign visual accommodation disturbances (photopsia, light trails, visual persistence); (2) Do NOT discontinue crizotinib—reassure the patient; (3) Advise caution with night driving; (4) Symptoms often diminish over time; (5) No ophthalmologic intervention needed for typical visual effects; (6) However, if visual acuity changes, visual field defects, or severe symptoms develop: ophthalmology referral; (7) Distinguish from optic neuritis or retinal pathology which would require treatment modification.",NCCN NSCLC v3.2025; Crizotinib prescribing information
Q086,D6_Follow_Up,Medium,"A 55-year-old female completed neoadjuvant nivolumab + chemotherapy followed by right upper lobectomy for stage IIIA NSCLC. Pathology shows major pathologic response (MPR, <10% viable tumor). She is scheduled for adjuvant nivolumab.",What is the significance of MPR and the adjuvant IO plan?,"Major pathologic response (MPR) after neoadjuvant chemo-IO has prognostic significance: (1) MPR (<10% viable tumor) and pathologic complete response (pCR) correlate with improved event-free survival and OS; (2) Adjuvant nivolumab for 1 year is recommended per CheckMate 77T protocol regardless of pathologic response; (3) The benefit of adjuvant IO after achieving MPR/pCR is debated—ongoing analysis may refine which patients benefit most; (4) Surveillance: CT every 6 months for 2 years, then annually; brain MRI per stage III protocol; (5) Monitor for delayed irAEs during adjuvant nivolumab; (6) MPR assessment: report as percentage of viable tumor in the resection specimen using standardized pathologic scoring.",NCCN NSCLC v3.2025 NSCL-8; CheckMate 77T; KEYNOTE-671
Q087,D3_First_Line,Medium,"A 60-year-old male diagnosed with stage IV NSCLC adenocarcinoma. No driver mutations detected. PD-L1 TPS is 0%. ECOG PS 1. He asks if immunotherapy can still help.",Is immunotherapy indicated for PD-L1 negative (<1%) NSCLC without driver mutations?,"Yes, IO remains part of first-line treatment even with PD-L1 <1%: (1) Chemo-IO combination: pembrolizumab + platinum + pemetrexed (KEYNOTE-189) showed OS benefit regardless of PD-L1 status, including PD-L1 <1%; (2) Nivolumab + ipilimumab + 2 cycles chemotherapy (CheckMate 9LA) is another option; (3) Pembrolizumab monotherapy is NOT recommended for PD-L1 <1%; (4) The magnitude of IO benefit is smaller in PD-L1 <1% compared to PD-L1 ≥50%, but still statistically significant; (5) Chemotherapy alone (without IO) is considered suboptimal for first-line treatment in fit patients; (6) TMB (tumor mutational burden) may be considered as an alternative biomarker for IO benefit prediction.",NCCN NSCLC v3.2025 NSCL-17
Q088,D4_Subsequent_Resistance,Hard,"A 60-year-old female with EGFR exon 19 del NSCLC on osimertinib for 24 months. New progression with bone and adrenal metastases. Liquid biopsy shows MET amplification. Tissue re-biopsy confirms retained adenocarcinoma histology.",What is the recommended approach for MET amplification-mediated osimertinib resistance?,"MET amplification is the most common identifiable resistance mechanism to osimertinib (~15–20%): (1) Osimertinib + MET inhibitor combination is the preferred approach: osimertinib + savolitinib (TATTON, SAVANNAH data), osimertinib + capmatinib, or osimertinib + tepotinib; (2) Several combinations are under investigation or available via expanded access; (3) Level of MET amplification matters: high copy number (≥10) or MET/CEP7 ratio ≥2 correlates with higher response to MET inhibitor addition; (4) If combination not accessible: amivantamab + lazertinib (MARIPOSA-2) or platinum chemotherapy are alternatives; (5) Continue osimertinib alongside MET inhibitor (do not discontinue EGFR TKI); (6) Clinical trial enrollment is encouraged.",NCCN NSCLC v3.2025 NSCL-22; EGFR-4; Emerging data
Q089,D5_Adverse_Events,Medium,"A 71-year-old male on pembrolizumab develops new-onset type 1 diabetes with DKA (glucose 480 mg/dL, pH 7.15, ketones positive) after cycle 3. He had no prior history of diabetes.",How should immune-related diabetes and DKA be managed?,"IO-related type 1 diabetes with DKA is a rare (~1%) but potentially life-threatening irAE: (1) Immediate DKA management per standard protocol: IV insulin infusion, aggressive IV fluid resuscitation, electrolyte correction (potassium monitoring); (2) ICU admission for DKA management; (3) Hold pembrolizumab during acute management; (4) Check C-peptide (will be low/undetectable) and anti-GAD antibodies; (5) Steroids are NOT effective for IO-related T1DM (unlike most irAEs)—beta-cell destruction is typically complete and irreversible; (6) Transition to basal-bolus insulin regimen once DKA resolves; (7) Endocrinology consultation for long-term diabetes management; (8) Pembrolizumab CAN be resumed once diabetes is well-controlled on insulin; (9) Patient education: this is permanent insulin-dependent diabetes; (10) Screen for concurrent endocrinopathies (thyroid, adrenal).",NCCN Management of Immunotherapy-Related Toxicities v1.2025
Q090,D6_Follow_Up,Easy,"A 66-year-old female is 5 years out from lobectomy for stage IB NSCLC. She has had no recurrence. She is a former smoker (30 pack-years, quit at time of diagnosis).",What ongoing surveillance and cancer prevention measures are recommended beyond 5 years?,"Beyond 5 years post-resection: (1) Annual low-dose CT (LDCT) screening continues—she remains at risk for both recurrence and second primary lung cancer; (2) The risk of recurrence decreases significantly after 5 years but never reaches zero; (3) Annual physical examination with attention to symptoms; (4) Continued smoking cessation reinforcement; (5) Age-appropriate cancer screening (breast, colorectal, cervical) per NCCN guidelines; (6) Influenza and pneumococcal vaccination; (7) Cardiovascular risk assessment (smokers have elevated CV risk); (8) Bone density screening given post-menopausal status; (9) Pulmonary rehabilitation or exercise program for optimized lung function.",NCCN NSCLC v3.2025 NSCL-15; NCCN Survivorship
Q091,D1_Diagnosis_Screening,Hard,"A 55-year-old male undergoes LDCT screening showing a 12mm solid nodule with lobulated margins. He was also found to have an 18mm pulmonary embolism in the right lower lobe pulmonary artery on the same scan.",How should the concurrent findings of suspicious nodule and PE be managed?,"Concurrent PE and suspicious nodule both need management: (1) PE management: initiate anticoagulation (DOAC preferred, e.g., apixaban or rivarelbocixaban) immediately; (2) Cancer workup: the combination of PE and suspicious nodule raises concern for cancer-associated VTE (Trousseau syndrome); (3) PET-CT for the nodule (can be performed on anticoagulation); (4) Tissue diagnosis of the nodule: timing of biopsy must be coordinated with anticoagulation—CT-guided biopsy may need brief anticoagulation hold; EBUS is generally lower bleeding risk; (5) If malignancy confirmed: LMWH or DOAC for cancer-associated VTE (CARAVAGGIO, SELECT-D data support apixaban/edoxaban for cancer VTE); (6) Concurrent IVC filter is NOT routinely indicated unless anticoagulation is contraindicated.",NCCN NSCLC v3.2025; NCCN Cancer-Associated VTE
Q092,D2_Staging_Molecular,Medium,"A 67-year-old male with newly diagnosed stage IV NSCLC adenocarcinoma. NGS is pending. His oncologist needs to decide whether to start treatment or wait for molecular results. He is symptomatic with progressive dyspnea.",When is it appropriate to initiate treatment before molecular profiling results are available?,"Balancing urgency vs. molecular results: (1) For rapidly symptomatic patients who cannot safely wait for NGS (typical turnaround 2–3 weeks): initiate empiric platinum-based chemotherapy (carboplatin + pemetrexed) without immunotherapy; (2) Rationale for withholding IO: if a driver mutation is subsequently found, prior IO exposure complicates future TKI use (increased toxicity risk, particularly hepatotoxicity and pneumonitis); (3) Once molecular results return: (a) if actionable driver found → stop chemo, start targeted therapy; (b) if no driver → add IO to ongoing chemo; (4) Liquid biopsy for rapid turnaround (7–10 days) should be sent concurrently with tissue NGS; (5) Symptomatic management: thoracentesis, bronchoscopy for airway obstruction, radiation for hemoptysis or pain.",NCCN NSCLC v3.2025 NSCL-5A; Expert consensus
Q093,D3_First_Line,Hard,"A 52-year-old male with stage IV NSCLC. NGS reveals an uncommon EGFR mutation: G719A (exon 18). PD-L1 TPS 45%. ECOG PS 1.",How should an uncommon EGFR mutation be treated?,"Uncommon EGFR mutations require nuanced management: (1) G719X (exon 18) mutations are sensitive to certain TKIs but not all: afatinib has the strongest data for uncommon mutations (LUX-Lung 2/3/6 post-hoc analysis, ORR ~60%); (2) Osimertinib also has activity against G719X mutations (KCSG-LU15-09 trial and post-hoc FLAURA data); (3) First-generation TKIs (erlotinib, gefitinib) have lower response rates for uncommon mutations; (4) Despite PD-L1 45%, targeted therapy is preferred; (5) Exon 20 insertions are the exception—resistant to most TKIs; (6) Compound uncommon mutations (e.g., G719X + S768I) may respond particularly well to afatinib or osimertinib.",NCCN NSCLC v3.2025 EGFR-2
Q094,D5_Adverse_Events,Hard,"A 63-year-old male on alectinib for ALK-positive NSCLC for 9 months develops progressive bilateral lower extremity edema, weight gain (5kg), and new-onset bradycardia (HR 45 bpm). Echocardiogram shows normal LVEF. He has no prior cardiac history.",What is causing these symptoms and how should they be managed?,"Alectinib-associated bradycardia and edema: (1) Bradycardia is a known class effect of ALK TKIs (~10% with alectinib): hold alectinib if HR <50 or symptomatic (dizziness, syncope); (2) Evaluate for concurrent medications causing bradycardia (beta-blockers, calcium channel blockers); (3) Peripheral edema is very common with alectinib (~30%): manage with compression stockings, leg elevation, dietary sodium restriction; (4) Diuretics (low-dose furosemide) if edema is functionally limiting; (5) If bradycardia resolves after hold: restart alectinib at same or reduced dose (450mg BID → 300mg BID) with cardiac monitoring; (6) ECG monitoring: check for QTc prolongation; (7) If symptomatic bradycardia persists: cardiology consultation, consider pacemaker evaluation for long-term TKI use; (8) Do NOT switch ALK TKI solely for edema—all ALK TKIs can cause it.",NCCN NSCLC v3.2025 ALK-1; Alectinib prescribing information
Q095,D6_Follow_Up,Hard,"A 58-year-old female was treated with definitive chemoradiation and durvalumab for stage IIIB NSCLC. At month 18 post-treatment, she develops new persistent cough and CT shows focal consolidation in the previously irradiated field. PET shows moderate FDG uptake.",How should post-radiation changes vs. local recurrence be differentiated?,"Distinguishing radiation fibrosis/pneumonitis from recurrence is challenging: (1) Post-radiation changes (fibrosis, organizing pneumonia) can be PET-avid for up to 12–24 months after RT; (2) Key features suggesting recurrence: growing mass-like consolidation, new nodularity outside the radiation field, increasing FDG avidity over serial scans; (3) Key features suggesting radiation change: conforming to the radiation field, stable or decreasing over time, ground-glass component; (4) Serial imaging at 6–8 week intervals to assess trajectory is often the first step; (5) If growing or highly suspicious: biopsy is essential (bronchoscopy preferred for central lesions, CT-guided for peripheral); (6) If biopsy shows recurrence: re-evaluate molecular profile and treat as recurrent disease; (7) If organizing pneumonia: trial of corticosteroids.",NCCN NSCLC v3.2025 NSCL-15; Expert consensus
Q096,D3_First_Line,Hard,"A 78-year-old female with stage IV NSCLC adenocarcinoma, EGFR exon 19 deletion. She has severe chronic kidney disease (CKD stage 4, eGFR 22). ECOG PS 2. She lives alone with limited social support.",What treatment approach is appropriate for this patient with significant renal impairment?,"Renal impairment affects treatment selection significantly: (1) Osimertinib is first-line for EGFR exon 19 del—it is hepatically metabolized and does NOT require dose adjustment for renal impairment; (2) Osimertinib is the ideal choice here as it avoids nephrotoxic chemotherapy; (3) Monitor for osimertinib-specific toxicities: QTc prolongation (baseline ECG), ILD, skin effects; (4) If osimertinib fails: platinum-based chemotherapy is problematic—cisplatin is contraindicated in CKD 4, carboplatin requires dose reduction with extreme caution; (5) Consider geriatric oncology assessment given age, PS, and social situation; (6) Home health or social work referral for medication management; (7) Goals of care discussion regarding treatment burden vs. benefit; (8) Ensure appropriate CKD management alongside cancer treatment (nephrology co-management).",NCCN NSCLC v3.2025 EGFR-1; NCCN Older Adult Oncology
